236.669  115.513: opening buffers
316.453  049.122: BufEnter autocommands
030.812  000.037  000.037: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/pug.vim
030.054  000.036  000.036: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/hjson.vim
028.686  000.035  000.035: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/fish.vim
030.176  000.034  000.034: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/json5.vim
030.298  000.034  000.034: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/julia.vim
028.918  000.033  000.033: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/gdresource.vim
029.555  000.033  000.033: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/gowork.vim
103.805  000.033  000.033: sourcing /Users/mochi/.local/share/nvim/rplugin.vim
029.048  000.032  000.032: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/gdscript.vim
029.931  000.032  000.032: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/heex.vim
029.433  000.030  000.030: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/gomod.vim
029.165  000.027  000.027: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/glimmer.vim
028.564  000.025  000.025: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/fennel.vim
028.799  000.025  000.025: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/fusion.vim
001.809  000.024: window checked
316.474  000.021: editing files in windows
110.209  000.020: inits 3
319.809  000.004: UIEnter autocommands
338.692  000.004: --- NVIM STARTED ---
007.214  000.002: waiting for UI



 clock   elapsed:              other lines
 clock   self+sourced   self:  sourced script
times in msec
